state,total_votes
Delaware,504010
District of Columbia,344356
Florida,11067456
Georgia,4998566
Hawaii,574469
Idaho,868105
Illinois,6017502
Indiana,3033198
Iowa,1688310
Kansas,1333804
Kentucky,2136768
Louisiana,2148062
Maine,816423
Maryland,3019064
Massachusetts,3631402
Michigan,5539302
Minnesota,3277171
Mississippi,1315240
Missouri,3029586
Montana,605750
Nebraska,952271
Nevada,1405376
New Hampshire,804430
New Jersey,4565757
New Mexico,923965
New York,8210313
North Carolina,5524801
North Dakota,361819
Ohio,5922202
Oklahoma,1560699
Oregon,2371178
Pennsylvania,6924179
Rhode Island,517757
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11317911
Utah,1488289
Vermont,367428
Virginia,4460524
Washington,4060294
West Virginia,794652
Wisconsin,3297434
Wyoming,276765
Alabama,2323282
Alaska,357226
Arkansas,1219069
California,17461388
Colorado,3256650
Connecticut,1824317
United States,157871298
Arizona,3387326
